,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow,make_code
77488,12.8,26.1,0.0,10.6,0.0,7,52.0,1,5,7.0,9.0,51.0,45.0,1010.1,1003.6,8.0,8.0,18.7,21.9,0,1,1
137842,25.7,33.3,1.0,5.4,10.2,14,31.0,10,14,6.0,22.0,80.0,61.0,1009.2,1006.3,7.0,6.0,28.9,32.8,0,0,0
22354,17.8,25.2,0.0,4.0,6.4,4,26.0,4,2,17.0,13.0,71.0,66.0,1013.7,1013.4,7.0,7.0,22.9,24.4,0,0,0
34571,19.6,28.1,0.0,7.4,5.9,4,52.0,5,4,17.0,39.0,62.0,55.0,1014.7,1011.2,5.0,8.0,24.1,26.1,0,0,0
83601,20.6,30.6,0.0,3.4,12.5,1,31.0,9,1,7.0,11.0,52.0,52.0,1015.2,1013.1,4.0,1.0,28.8,28.9,0,0,0
86622,23.7,31.7,0.0,7.6,12.1,5,30.0,3,5,20.0,15.0,62.0,66.0,1009.7,1007.9,2.0,1.0,30.2,30.3,0,0,0
92590,27.0,32.6,0.0,10.2,11.7,3,39.0,5,5,24.0,28.0,65.0,61.0,1009.5,1007.3,5.0,4.0,30.5,30.8,0,0,0
61473,9.2,24.7,0.0,7.6,0.0,14,43.0,7,4,9.0,22.0,71.0,44.0,1009.6,1004.7,8.0,8.0,15.9,23.9,0,1,1
116435,12.8,26.8,0.0,9.0,12.6,12,44.0,8,12,15.0,30.0,51.0,36.0,1009.1,1010.0,4.0,1.0,22.3,24.5,0,0,0
37576,15.3,29.6,0.0,13.2,3.4,15,61.0,1,10,17.0,13.0,48.0,18.0,1011.9,1009.9,7.0,7.0,23.0,28.8,0,0,0
13599,21.6,37.4,0.0,13.0,12.5,5,50.0,4,3,31.0,17.0,52.0,19.0,1012.4,1008.7,1.0,4.0,26.4,35.7,0,0,0
119628,16.9,26.1,0.0,9.0,12.6,12,41.0,8,12,11.0,20.0,56.0,42.0,1009.1,1010.2,4.0,1.0,22.6,23.9,0,0,0
40310,16.3,29.9,0.0,7.6,9.3,0,44.0,4,0,17.0,35.0,62.0,49.0,1014.8,1010.6,2.0,6.0,23.8,28.2,0,0,0
10660,18.6,26.5,0.0,6.0,11.1,4,50.0,2,1,13.0,30.0,64.0,57.0,1016.2,1013.8,3.0,3.0,25.3,25.2,0,0,0
92955,27.6,32.6,0.0,8.0,2.2,1,35.0,1,4,20.0,20.0,63.0,71.0,1010.3,1008.3,7.0,7.0,31.3,29.7,0,1,1
99079,10.7,29.5,0.0,6.2,9.5,10,41.0,8,2,15.0,15.0,75.0,33.0,1015.5,1011.7,8.0,4.0,17.0,27.4,0,0,0
64838,10.8,28.2,0.0,7.6,10.3,10,37.0,11,4,24.0,13.0,59.0,38.0,1013.8,1013.8,7.0,7.0,18.0,25.0,0,0,0
70281,14.6,37.5,0.0,9.4,11.9,15,28.0,5,14,15.0,11.0,23.0,10.0,1012.1,1009.6,7.0,7.0,25.3,35.0,0,0,0
128957,13.6,22.4,0.0,5.6,8.7,14,56.0,7,11,28.0,22.0,57.0,30.0,1005.9,1010.8,7.0,2.0,17.2,20.6,0,0,0
77853,11.0,28.3,0.0,7.6,10.3,11,31.0,0,4,7.0,9.0,69.0,40.0,1013.8,1013.9,7.0,7.0,17.7,24.9,0,0,0
31927,21.4,28.4,0.0,6.8,11.0,1,43.0,4,4,15.0,24.0,68.0,69.0,1014.5,1011.4,1.0,3.0,25.2,27.5,0,0,0
102075,13.5,34.0,0.0,9.6,9.1,2,41.0,1,2,9.0,13.0,32.0,18.0,1011.8,1010.1,6.0,5.0,23.2,30.4,0,0,0
119993,17.4,28.5,0.0,10.2,13.4,11,39.0,2,11,9.0,20.0,50.0,51.0,1011.3,1008.9,1.0,1.0,24.0,24.6,0,0,0
86984,25.3,33.7,0.0,8.8,7.8,4,35.0,1,4,15.0,24.0,65.0,61.0,1009.7,1007.2,3.0,4.0,30.3,31.7,0,0,0
116800,17.2,29.4,0.0,10.2,13.4,15,43.0,0,12,13.0,33.0,48.0,40.0,1011.5,1008.6,1.0,1.0,22.8,26.7,0,0,0
37941,10.6,35.2,0.0,10.6,13.1,12,41.0,0,11,15.0,11.0,49.0,12.0,1013.1,1010.4,1.0,6.0,22.8,33.5,0,0,0
34936,21.2,30.7,0.2,6.8,11.0,4,52.0,4,4,22.0,35.0,63.0,56.0,1014.4,1011.0,1.0,3.0,25.7,29.3,0,0,0
84321,19.1,30.8,0.0,10.4,11.5,2,30.0,10,0,7.0,13.0,46.0,46.0,1013.4,1009.7,4.0,1.0,25.8,28.2,0,0,0
87349,23.0,28.9,0.8,1.5,3.0,0,30.0,9,0,15.0,15.0,83.0,66.0,1011.8,1008.5,7.0,5.0,25.5,28.1,0,1,1
70645,24.7,35.7,0.0,11.4,1.1,14,33.0,6,13,6.0,22.0,24.0,21.0,1011.2,1010.7,8.0,8.0,29.0,34.1,0,0,0
38306,21.5,36.6,0.0,8.4,8.8,10,65.0,1,12,17.0,6.0,35.0,19.0,1013.2,1008.6,7.0,7.0,27.8,35.6,0,1,1
138572,27.4,32.7,0.0,7.0,11.2,14,46.0,14,13,33.0,31.0,71.0,62.0,1010.6,1009.0,2.0,3.0,29.8,31.6,0,0,0
120358,17.1,35.0,0.0,13.2,12.2,2,44.0,2,2,17.0,15.0,48.0,23.0,1015.9,1010.8,3.0,7.0,23.2,33.5,0,0,0
32292,17.9,25.6,0.0,11.0,12.3,0,35.0,11,0,2.0,28.0,57.0,52.0,1016.4,1013.7,6.0,4.0,22.9,24.2,0,0,0
35300,18.6,26.5,0.0,11.0,12.3,4,41.0,13,1,9.0,28.0,61.0,48.0,1016.4,1013.6,6.0,4.0,22.3,25.4,0,0,0
99444,16.9,25.0,0.0,12.8,3.6,10,50.0,10,10,26.0,33.0,68.0,61.0,1015.1,1015.4,7.0,7.0,20.5,20.9,0,0,0
93320,24.5,31.1,0.0,8.6,5.5,4,35.0,4,5,17.0,24.0,60.0,59.0,1011.7,1008.6,7.0,7.0,28.1,28.9,0,0,0
129320,17.3,18.9,0.0,6.0,4.5,10,41.0,9,9,22.0,24.0,75.0,70.0,1016.3,1016.8,7.0,7.0,18.5,18.1,0,0,0
75213,15.8,21.3,0.0,12.8,3.6,10,41.0,9,10,19.0,20.0,80.0,71.0,1015.8,1016.4,8.0,8.0,17.7,18.2,0,0,0
117531,16.1,32.8,0.0,12.6,13.3,0,57.0,0,15,26.0,20.0,41.0,14.0,1017.4,1012.6,0.0,0.0,22.8,32.1,0,0,0
120724,16.3,31.3,0.0,12.6,13.3,9,35.0,2,12,13.0,19.0,45.0,40.0,1017.2,1013.1,0.0,0.0,22.4,27.9,0,0,0
35666,21.6,27.2,0.0,6.8,0.0,1,31.0,2,0,9.0,24.0,72.0,72.0,1007.4,1005.5,7.0,8.0,24.6,25.4,0,0,0
71011,17.0,29.3,0.0,7.2,11.2,11,46.0,11,12,17.0,20.0,63.0,37.0,1009.5,1008.6,6.0,4.0,19.5,26.6,0,0,0
32658,22.7,26.6,0.0,6.8,0.0,0,24.0,0,0,9.0,19.0,70.0,70.0,1007.4,1005.5,7.0,8.0,24.6,24.9,0,0,0
84684,24.8,34.7,0.0,9.8,12.2,4,39.0,3,4,7.0,13.0,55.0,62.0,1006.5,1004.3,1.0,2.0,31.4,31.6,0,0,0
126889,12.2,20.5,0.0,4.6,10.9,9,33.0,8,2,9.0,22.0,58.0,43.0,1026.3,1023.4,6.0,1.0,14.4,19.8,0,0,0
11911,19.5,35.1,0.0,9.8,11.8,1,48.0,4,2,17.0,17.0,56.0,32.0,1015.0,1010.9,7.0,6.0,25.4,33.2,0,0,0
97008,16.6,32.2,0.0,6.4,10.6,11,41.0,10,11,24.0,28.0,64.0,43.0,1016.1,1013.4,7.0,6.0,21.7,30.8,0,0,0
117922,22.2,35.8,0.4,6.4,13.1,11,35.0,0,11,7.0,15.0,67.0,43.0,1011.2,1008.9,0.0,1.0,27.7,35.5,0,0,0
35870,26.9,41.6,0.0,13.6,11.2,1,63.0,4,1,19.0,20.0,26.0,11.0,1012.6,1009.7,1.0,2.0,32.9,40.6,0,0,0
114729,23.3,37.4,0.4,6.4,13.1,11,39.0,0,13,19.0,22.0,67.0,40.0,1011.7,1008.8,0.0,1.0,27.5,35.9,0,0,0
38846,18.1,31.7,0.0,9.6,12.5,1,54.0,4,0,9.0,33.0,66.0,47.0,1014.8,1013.0,0.0,1.0,25.2,30.0,0,0,0
44809,19.0,31.9,0.0,10.6,11.8,0,43.0,9,1,9.0,20.0,38.0,23.0,1016.1,1014.7,1.0,1.0,25.8,31.2,0,0,0
59767,18.7,22.3,0.8,8.8,0.0,2,44.0,2,2,24.0,30.0,95.0,85.0,1019.9,1019.3,8.0,8.0,18.8,19.6,0,0,0
65960,20.3,33.8,0.0,7.6,7.1,11,39.0,11,2,11.0,11.0,68.0,41.0,1016.5,1012.0,7.0,7.0,22.9,31.4,0,0,0
62767,18.1,34.1,0.0,7.6,7.1,11,39.0,11,2,11.0,11.0,75.0,46.0,1016.8,1012.5,7.0,7.0,20.8,31.7,0,0,0
8958,20.0,29.6,0.0,7.0,12.2,1,30.0,5,0,7.0,19.0,61.0,62.0,1015.9,1015.1,5.0,5.0,26.6,27.2,0,1,1
32865,20.9,28.2,0.0,9.2,11.1,0,41.0,10,10,17.0,24.0,78.0,69.0,1016.3,1016.2,1.0,6.0,23.5,26.9,0,0,0
72787,16.1,26.1,0.0,6.4,10.6,2,41.0,2,9,20.0,20.0,87.0,64.0,1017.1,1014.7,7.0,5.0,17.9,25.2,0,0,0
81907,22.1,27.9,0.8,7.4,0.1,9,28.0,11,2,4.0,13.0,80.0,60.0,1015.4,1012.9,7.0,7.0,23.9,27.3,0,0,0
5970,24.8,40.8,0.0,13.4,11.3,9,30.0,13,10,9.0,9.0,34.0,16.0,1012.9,1009.8,5.0,3.0,30.1,38.9,0,0,0
75783,19.1,35.9,0.0,7.6,7.1,12,48.0,0,10,6.0,11.0,72.0,40.0,1016.4,1011.8,7.0,7.0,21.5,32.7,0,0,0
36235,23.3,37.3,0.0,12.0,11.7,5,54.0,0,0,15.0,19.0,44.0,15.0,1013.8,1010.0,5.0,7.0,27.1,35.9,0,0,0
127254,11.5,19.1,0.0,11.8,11.5,11,39.0,11,9,15.0,22.0,46.0,39.0,1021.5,1022.4,1.0,2.0,15.6,18.2,0,0,0
66325,16.9,24.9,1.4,10.2,11.0,8,39.0,10,8,15.0,28.0,58.0,45.0,1019.0,1016.3,7.0,2.0,18.2,22.7,1,0,0
100371,12.4,29.6,0.0,9.0,12.8,9,41.0,10,2,24.0,20.0,58.0,27.0,1014.9,1011.8,3.0,3.0,15.9,28.3,0,0,0
21014,19.4,25.2,0.0,7.6,11.8,8,33.0,8,9,20.0,20.0,64.0,56.0,1009.3,1007.8,3.0,2.0,22.7,24.1,0,0,0
73152,12.3,19.9,0.0,8.0,13.1,0,48.0,2,9,24.0,30.0,53.0,50.0,1020.0,1017.7,2.0,0.0,15.7,18.6,0,0,0
60132,14.0,24.9,0.0,12.1,9.7,15,46.0,12,2,6.0,30.0,69.0,53.0,1019.3,1017.9,3.0,3.0,17.7,23.2,0,0,0
6334,23.8,32.1,0.0,11.6,5.5,0,39.0,0,2,15.0,17.0,64.0,32.0,1010.4,1008.0,7.0,7.0,25.2,31.8,0,0,0
68576,18.4,37.1,0.2,12.8,9.2,0,39.0,10,2,22.0,19.0,34.0,26.0,1017.6,1009.7,5.0,7.0,21.0,34.8,0,0,0
39210,17.7,28.9,1.2,7.0,9.5,2,50.0,0,0,19.0,33.0,69.0,59.0,1014.6,1014.1,6.0,7.0,25.4,27.4,1,0,0
118287,16.9,32.4,0.0,7.2,12.7,12,46.0,0,12,9.0,20.0,41.0,37.0,1010.0,1007.1,5.0,0.0,24.2,28.5,0,0,0
33230,21.9,29.1,0.0,7.8,7.9,0,46.0,1,1,20.0,31.0,66.0,58.0,1015.9,1016.0,7.0,6.0,25.9,28.3,0,0,0
97373,9.4,26.7,0.0,8.0,13.1,9,48.0,9,9,35.0,22.0,49.0,30.0,1019.1,1015.0,1.0,0.0,16.8,26.1,0,0,0
45538,16.2,37.1,0.0,6.6,13.2,14,54.0,6,7,2.0,31.0,53.0,14.0,1012.2,1007.9,1.0,1.0,25.9,36.0,0,0,0
133682,25.1,35.0,0.0,7.6,7.6,4,69.0,3,5,17.0,19.0,42.0,32.0,1007.2,1003.2,6.0,7.0,30.4,34.6,0,1,1
115459,17.9,30.7,0.4,6.8,12.4,0,41.0,0,15,19.0,28.0,46.0,37.0,1013.1,1008.4,0.0,0.0,21.8,29.1,0,0,0
21379,19.7,23.7,0.0,3.8,1.7,0,35.0,0,0,20.0,24.0,84.0,74.0,1022.3,1021.1,6.0,6.0,22.6,23.2,0,0,0
9687,23.4,32.2,0.0,5.2,12.9,5,61.0,6,4,26.0,39.0,64.0,64.0,1016.1,1012.6,1.0,1.0,26.9,29.3,0,0,0
136866,25.3,32.8,0.0,4.4,9.9,14,31.0,0,7,6.0,19.0,70.0,56.0,1007.6,1004.6,6.0,2.0,29.3,32.1,0,1,1
33595,23.4,40.8,0.0,12.0,12.3,4,44.0,7,4,9.0,28.0,60.0,29.0,1011.4,1006.2,0.0,1.0,27.6,38.0,0,0,0
118652,17.9,29.8,0.4,6.8,12.4,12,35.0,2,12,15.0,19.0,51.0,44.0,1012.6,1008.7,0.0,0.0,20.7,27.4,0,0,0
36600,20.0,40.7,0.0,9.4,13.0,6,70.0,3,14,6.0,28.0,32.0,13.0,1009.9,1006.3,1.0,1.0,30.3,39.2,0,1,1
68941,22.3,41.9,0.0,11.6,11.8,6,43.0,3,13,17.0,17.0,35.0,17.0,1007.2,1004.2,0.0,2.0,30.3,40.7,0,0,0
39560,20.1,42.5,0.0,9.8,12.8,14,54.0,6,14,13.0,28.0,56.0,14.0,1012.3,1008.0,0.0,1.0,28.0,41.4,0,0,0
85647,25.3,33.2,0.0,6.2,9.3,9,48.0,8,9,15.0,26.0,75.0,62.0,1010.0,1006.5,6.0,4.0,29.0,32.3,0,0,0
12641,22.9,37.1,0.0,11.4,12.8,3,50.0,4,6,28.0,19.0,60.0,32.0,1015.8,1011.6,0.0,1.0,26.6,35.4,0,0,0
118987,24.3,37.5,0.0,11.8,8.2,4,39.0,4,15,24.0,17.0,28.0,42.0,1008.6,1005.3,4.0,5.0,31.6,33.8,0,1,1
69276,11.1,28.1,0.0,10.8,11.5,10,37.0,10,10,26.0,13.0,56.0,25.0,1015.8,1011.4,1.0,2.0,15.0,25.9,0,0,0
36935,15.4,28.1,0.0,8.0,11.6,1,46.0,9,1,15.0,22.0,58.0,38.0,1012.7,1009.8,5.0,3.0,18.7,26.0,0,0,0
66965,12.9,24.5,0.0,5.8,13.2,10,61.0,9,10,30.0,33.0,59.0,34.0,1017.8,1014.2,1.0,5.0,16.6,23.8,0,0,0
73848,12.5,19.8,0.4,5.2,7.1,2,46.0,9,9,22.0,28.0,72.0,48.0,1019.8,1017.8,4.0,5.0,15.7,19.4,0,0,0
115794,23.3,37.5,0.0,11.8,8.2,0,59.0,5,15,31.0,24.0,23.0,36.0,1009.5,1005.8,4.0,5.0,32.7,35.1,0,1,1
63832,10.4,24.3,0.0,5.8,13.2,10,61.0,9,10,30.0,33.0,57.0,34.0,1017.6,1014.2,1.0,5.0,16.1,22.8,0,0,0
21713,18.6,25.1,0.0,8.0,7.3,2,43.0,2,2,20.0,22.0,67.0,65.0,1011.6,1008.8,6.0,4.0,23.0,23.8,0,0,0
101071,10.0,22.5,0.0,6.6,10.1,9,56.0,2,11,26.0,13.0,50.0,26.0,1017.3,1013.7,1.0,6.0,13.8,22.3,0,0,0
98073,12.9,22.2,0.0,5.2,7.1,10,50.0,9,10,17.0,30.0,71.0,48.0,1019.7,1016.7,7.0,7.0,15.2,19.8,0,0,0
134017,14.9,33.7,0.0,13.8,13.0,9,43.0,9,10,28.0,26.0,20.0,11.0,1009.7,1004.6,2.0,0.0,24.6,32.3,0,0,0
60832,11.8,20.7,0.4,4.4,9.7,2,41.0,0,9,6.0,26.0,82.0,56.0,1018.9,1016.4,8.0,6.0,15.0,19.5,0,0,0
76847,9.0,24.1,0.2,5.8,13.2,2,39.0,10,10,13.0,15.0,66.0,38.0,1017.5,1014.0,1.0,5.0,15.5,23.2,0,0,0
22385,17.6,23.5,1.4,5.6,7.5,8,37.0,8,10,26.0,17.0,66.0,71.0,1010.2,1008.3,4.0,5.0,21.5,21.7,1,0,0
37607,24.9,41.7,0.0,14.2,12.7,0,33.0,4,6,19.0,9.0,35.0,10.0,1011.2,1007.7,0.0,1.0,28.9,41.0,0,0,0
116466,17.2,29.9,0.0,9.2,12.9,12,48.0,11,12,19.0,33.0,55.0,43.0,1008.4,1006.3,1.0,1.0,23.8,27.7,0,0,0
